,Precision,Precision_std,Recall,Recall_std,F1,F1_std,ROC-AUC,ROC-AUC_std,PR-AUC,PR-AUC_std
SVM,0.8088,0.0314,0.7966,0.0895,0.7984,0.0369,0.7271,0.0542,0.8425,0.0558
LightGBM,0.8063,0.017,0.8724,0.0669,0.8366,0.0319,0.7189,0.0434,0.8333,0.0383
Random Forest,0.8051,0.0275,0.9621,0.0169,0.8762,0.0163,0.7254,0.0314,0.8426,0.0243
Logistic Regression,0.8026,0.0157,0.7724,0.0743,0.7857,0.0406,0.6946,0.0515,0.825,0.0518
CatBoost,0.8012,0.0332,0.8517,0.0863,0.8229,0.0454,0.7101,0.0678,0.8353,0.0578
XGBoost,0.7979,0.0156,0.8414,0.0812,0.8169,0.0388,0.718,0.0246,0.8387,0.0255
