Modell,CV PR-AUC,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,N Features
LGBM_Full,0.8539,0.8667,0.8904,0.8784,0.8295,0.9146,0.5578,15
LGBM_Reduced,0.8496,0.863,0.863,0.863,0.7822,0.8815,0.5182,12
SVM_Full,0.8453,0.863,0.863,0.863,0.7785,0.8686,0.5182,15
SVM_Reduced,0.8538,0.8611,0.8493,0.8552,0.8233,0.9119,0.4994,12
RF_Reduced,0.8536,0.8592,0.8356,0.8472,0.8366,0.9161,0.4813,12
RF_Full,0.8547,0.8243,0.8356,0.8299,0.8191,0.9158,0.3915,15
