Metrik,Punkt-Schätzung,Bootstrap Mean,Bootstrap Std,95% KI Lower,95% KI Upper,KI Breite
Precision,0.8667,0.8679,0.0397,0.7808,0.939,0.1582
Recall,0.8904,0.8933,0.0356,0.8171,0.9577,0.1407
F1,0.8784,0.8797,0.0287,0.8163,0.9291,0.1128
PR-AUC,0.9146,0.9157,0.0314,0.8453,0.9672,0.1219
ROC-AUC,0.8295,0.8314,0.0486,0.731,0.9153,0.1843
MCC,0.5578,0.5647,0.0914,0.3802,0.7346,0.3544
